name,partNo,itemType,parent,qty,module,massG,domain,fieldAssembly,toolFree,isBase,moves,material_diff,service,bCat,reason,size,sym,dir,fix,fixCount,h_nests,h_delicate,h_twoHands,h_slippery,f_notSelfLocating,f_holdDown,f_obstructed,f_torqueSpec,f_threadlock,f_esd,f_routing,f_testStep,process,material,machine,price,volume,bx,by,bz,setups,toolChanges,setupMin,batchSize,tolerance,finish,hole1_count,hole1_dia,hole1_depth,hole2_count,hole2_dia,hole2_depth,wireId,lengthMm,cores,branches,connAPins,connAPrice,connBPins,connBPrice,heatshrink,labels,ties,serviceClass,removalsPerLife,accessDepth,solderJoints,opSec,opCost,opKind
Motor mount plate,ARM-101,part,,1,Arm structure,,mech,,,yes,,,,,"Base part - the boom clamp, motor and ESC all mount to it.",normal,twoWay,topDown,later,1,,,,,,,,,,,,,machining,al6061,vmc,,28000,72,72,8,1,4,35,200,medium,asMachined,4,3.3,8,4,4.5,8,,,,,,,,,,,,,,,,,,
"Boom clamp, upper half",ARM-102,part,,1,Arm structure,,mech,,,,,,yes,,Must be separate so the boom tube can be fitted into the clamp.,normal,twoWay,topDown,screw,4,,,,,yes,,,yes,yes,,,,machining,al6061,vmc,,14000,60,34,16,2,4,30,200,medium,asMachined,4,4.5,16,,,,,,,,,,,,,,,,,,,,,
"Boom clamp, lower half",ARM-103,part,,1,Arm structure,,mech,,,,,,,other,"Same material as the plate, does not move, nothing is fitted between the two.",normal,twoWay,topDown,none,1,,,,,yes,yes,,,,,,,machining,al6061,vmc,,11000,60,34,12,2,4,30,200,medium,asMachined,4,3.3,12,,,,,,,,,,,,,,,,,,,,,
M4 x 20 cap screw (clamp),STD-M4x20,part,,4,Fasteners,4.1,mech,,,,,,,fastener,Standard fastener clamping the arm to the boom.,small,oneWay,topDown,screw,1,yes,,,,,,,,,,,,purchased,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VTOL lift motor, 505-class",MOT-505,part,,1,Rotor,220,electromech,,,,yes,,,,Rotating machine - the whole point of the arm.,normal,twoWay,topDown,screw,4,,,,,,,,yes,yes,,,,purchased,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,field,4,1,,,,
M3 x 8 cap screw (motor),STD-M3x8,part,,4,Fasteners,1.1,mech,,,,,,,fastener,Standard fastener holding the motor to the plate.,small,oneWay,underneath,screw,1,yes,,,,,,,,,,,,purchased,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Propeller, 18x6 folding CF",PRP-1806,part,,1,Rotor,48,mech,yes,no,,yes,,,,"Rotating, and removed for transport.",large,twoWay,topDown,none,1,,yes,,,yes,,,,,,,,purchased,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,field,40,0,,,,
Prop bolt M5 x 25 + washer,STD-M5x25,part,,1,Fasteners,6.0,mech,yes,no,,,,,fastener,Standard fastener retaining the propeller.,small,oneWay,topDown,screw,1,,,,,,,,yes,,,,,purchased,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESC and lead set,ESC-ASY,subassembly,,1,Propulsion elec,,electromech,,,,,yes,,,"Built and tested on the bench, fitted to the arm as one unit.",normal,oneWay,topDown,none,1,,,,,,,,,,yes,,,purchased,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ESC, 60 A",ESC-060,part,ESC and lead set,1,Propulsion elec,82,elec,,,,,yes,,,Electronic assembly - must be electrically isolated from the structure.,normal,oneWay,topDown,none,1,,yes,,,,,,,,yes,,,purchased,,,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,depot,3,2,3,,,
"Motor lead harness, 3 core",HRN-ARM,part,ESC and lead set,1,Propulsion elec,,wiring,,,,,yes,,,Flexible conductor - cannot be integral with either end.,normal,oneWay,topDown,solder,3,,,,,,,,,,yes,yes,,harness,,,,,,,,,,,,,,,,,,,,w14,180,3,1,0,0,0,0,6,1,0,,,,,,,
"Cable tie, 150 mm",STD-TIE150,part,ESC and lead set,2,Fasteners,0.5,mech,,,,,,,fastener,Holds the ESC against the boom.,small,oneWay,side,cableTie,1,yes,,,,,,,,,,,,purchased,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply threadlocker - clamp and motor screws,,operation,,1,Arm structure,,mech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,material
Heatshrink and label the lead set,,operation,ESC and lead set,1,Propulsion elec,,wiring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,8,joining
Motor direction and vibration check,,operation,,1,Rotor,,electromech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0,test
